prompt,expected,result,time
"I'm 29, earning 42,000/month. I don’t own property. I’m contributing 2,000/month to my pension, which currently has 390,000. I also put 1,000 in stocks monthly and have 75,000 saved there.",Calculation Agent,,
"I'm 65 and my spouse is 62. I was earning 100,000/month before retirement. Pension balances: 6M and 4.2M. No active contributions. House is fully paid. We have 3.5M in conservative investments.",Calculation Agent,,
"I'm 48, make 69,000/month. My partner earns 61,000. We have a house worth 4.1M with 2.6M remaining (20 years). Pension funds are at 2.7M and 2.3M, with contributions of 5,000 each. We also invest 2,000 in index funds.",Calculation Agent,,
"I'm 37 and my husband is 38. I earn 55,000/month and he earns 58,000. We live in an apartment worth 3.3M, with 2.5M left on the mortgage (28 years). Pensions: mine has 1.4M (4,000/month), his 1.6M (4,200/month). We invest jointly: 450,000 in total.",Calculation Agent,,
"I'm 60 and single. Monthly salary: 91,000. Pension sits at 5.2 million and I contribute 6,000 monthly. I live in a townhouse worth 3.9 million, no remaining mortgage. I invest 2,000 monthly in a diversified portfolio, total value: 1.1 million.",Calculation Agent,,
"I'm 33, earning 52,000/month. I rent. Pension has 840,000 with 3,200 monthly contributions. I also invest in REITs and ETFs, around 400,000 total, and add 1,500/month.",Calculation Agent,,
"I'm 45. My income is 66,000/month. My wife is 42 and makes 64,000. We own a flat worth 4.2M with 2.7M left (27 years). Pensions are at 2.2M and 2.0M. We contribute 5,000 each. Stocks: 900,000 total.",Calculation Agent,,
"I'm 49 and my spouse is 46. I earn 61,000 and she earns 59,000. We rent. Pension balances: 2.1M and 1.9M. Contributions: 5,500 and 4,500/month. No other investments for now.",Calculation Agent,,
"I'm 31. I earn 47,000 per month and contribute 2,000/month to my pension (currently 600,000). No home yet — I live with roommates. I’ve got 150,000 in stocks and add 1,000/month.",Calculation Agent,,
"I'm 40, single, earning 70,000/month. Pension has 1.8M with 5,000/month contribution. I rent. I invest in a mix of index funds and real estate trusts — total 650,000, monthly addition: 2,000.",Calculation Agent,,
"I'm 33 and make 44,000 a month. No spouse. I rent a flat. Pension account has 670,000 so far and I contribute 3,200 monthly. I’m also investing in stocks: 200,000 in total, adding 1,500/month.",Calculation Agent,,
"Hi! I'm 47 years old. I bring in 75,000 per month and my wife earns around 60,000. We have a family home worth 3.6 million, still paying off 2.2 million (20 years left). Pensions: mine has 2.2 million (5,000/month), hers is at 1.8 million (4,000/month).",Calculation Agent,,
"I'm 59 and earn 80,000. I’m single. Pension plan sits at 3.9 million and I deposit 6,000/month. I don’t own property, but I have 900,000 in stocks and bonds, and I invest 3,000 monthly.",Calculation Agent,,
"I'm 29 and earn 38,000/month. Just started saving — pension is at 200,000 and I add 2,500/month. I don’t own property or invest yet.",Calculation Agent,,
"I'm 42 and my spouse is 41. I earn 55,000 and she earns 53,000. We have two properties: our main home (worth 3.5 million, mortgage 2.4 million, 24 years left) and a rental (worth 2 million, no mortgage). Pensions: 1.5M + 1.3M with 4,000 and 3,500 contributions. Stocks: 500,000 joint, no deposits anymore.",Calculation Agent,,
"I'm 66 and retired. My last salary was 90,000/month. I have a pension fund of 6.8 million, no contributions anymore. Own home, no debt. I have 1.5 million in low-risk investments. No new deposits.",Calculation Agent,,
"I'm 37. Monthly salary is 52,000. I have a pension with 1.1 million saved and add 3,000 every month. No house — I live with my parents. I’ve got 300,000 in a stock portfolio I contribute 2,000 to.",Calculation Agent,,
"I'm 40, and my partner is 39. I make 49,000 per month and they make 51,000. We have 2.4M in pension savings combined, with 5,500 + 5,000 in contributions. We just bought a home worth 4M, loan is 3.2M over 30 years. Stocks: 1.1M total, no further contributions.",Calculation Agent,,
"I'm a 32-year-old making 41,000/month. No real estate, but I have 850,000 in a pension fund and I contribute 3,000 monthly. I invest 2,500/month into crypto and ETFs. Currently at 300,000 combined.",Calculation Agent,,
"Hey, I'm 54, salary is 76,000 monthly. My pension account is at 2.9 million and I contribute 4,800 per month. I own a small condo worth 2.1 million with a 1.6 million mortgage (18 years left). I also have savings in gold and stocks: 450,000, not adding to it.",Calculation Agent,,
"I'm 60 years old and my wife is 58. I make 90,000/month, she makes 72,000. We both have pension funds: mine is 4.5 million, hers 3.2 million. Contributions are 7,000 and 5,500/month. We have a house (fully paid, worth 6 million) and 2 million in investments.",Calculation Agent,,
"I'm 35 and my partner is 34. I earn 65,000/month, they earn 62,000. We're paying off a flat: 2.5M remaining, value is 3.8M. 26 years to go. We contribute 6,000 and 5,000 to our pensions, which are at 1.3M and 1.2M. We invest 2,500 monthly together in ETFs.",Calculation Agent,,
"I'm 45. Monthly salary: 61,000. I rent. Pension balance: 1.7 million, contribution is 4,000/month. I’ve got 600,000 in stocks, currently not contributing. Also keep 150,000 in a savings account.",Calculation Agent,,
"I'm 53 and my spouse is 51. I earn 78,000/month, she earns 65,000. We have a house worth 4.5 million, mortgage of 3.5 million (25 years left). Pensions: mine has 2.8 million with a contribution of 5,500/month; hers has 2.1 million with 4,500/month. We also invest 3,000/month into a joint mutual fund (currently at 400,000).",Calculation Agent,,
"I'm 31 and my partner is 30. I earn 50,000/month, they earn 48,000. We have a condo worth 2.2 million, mortgage of 1.8 million (27 years left). My pension is at 900,000 with a contribution of 3,500/month, and my partner's is at 800,000 with 3,000/month. We also invest 1,500/month into a joint stock account (now 200,000).",Calculation Agent,,
"I'm 39 years old and take home around 55,000 monthly. My wife is 36 and earns about 47,000. We’ve got pensions—mine is at 950,000 with a 4,000/month contribution, and hers is 870,000 with a 3,000/month input. Our house is worth about 3.8 million, with 2.5 million left on the mortgage (22 years).",Calculation Agent,,
"I'm 58. Salary: 82,000/month. No spouse. Pension balance is 3,000,000. Monthly contribution: 6,000. I rent. I invest 5,000/month into index funds and have 450,000 in savings.",Calculation Agent,,
"I'm a 42-year-old professional earning 70,000 per month. I’ve saved 1.4 million in a pension fund and contribute 5,500 every month. I own an apartment valued at 2.6 million, and I owe 1.2 million on it with 24 years to go.",Calculation Agent,,
"Age: 46. Income: 67,000 monthly. My wife is 44, earns 63,000. We have a house worth 3.2 million, mortgage of 2.6 million (23 years left). Pensions: mine has 1.9 million with 4,200 monthly; hers has 1.7 million with 3,900/month. No kids. We also invest 3,000/month into a joint stock account (now 300,000).",Calculation Agent,,
"I'm a 50-year-old nurse making 60,000 per month. I contribute 3,000 to a pension each month (total saved: 2,100,000). No home — I live in a rental. I’ve got 700,000 in a mutual fund and I add 1,000 monthly.",Calculation Agent,,
"I'm 45 and my partner is 43. Combined, we earn about 110,000 a month. We have separate pensions: mine has 2.5 million (I add 6,000 monthly), and hers has 2.1 million (with a 5,000 contribution). Our house is worth 4.1 million with 3 million left on the mortgage (27 years).",Calculation Agent,,
"I'm 36, I earn 48,000 a month and my husband makes 50,000. We just bought a condo worth 2,800,000 — still owe 2,300,000 over 30 years. I put 2,000/month into a pension plan, which has 620,000. My husband contributes 3,000 and has 750,000.",Calculation Agent,,
"I'm 60. My monthly income is 88,000. I have 4 million saved in a pension fund and add 6,500 per month. I have a holiday home worth 2 million (fully owned). I invest 2,000/month in stocks, current portfolio at 600,000.",Calculation Agent,,
"Hello, I'm 51 and earn 58,000 per month. No mortgage, I rent. I have a pension valued at 2.2 million and I put in 4,400 per month. Also, I’ve been investing in mutual funds: 800,000 currently, no new deposits.",Calculation Agent,,
"I'm a 40-year-old freelancer, earning roughly 65,000 monthly. I live in a flat I bought for 2.3 million, and I owe 1.6 million (19 years remaining). I’ve saved 1.5 million in pension and add 5,000 every month. No stock investments.",Calculation Agent,,
"I'm 30 and earn 60,000 per month. I rent my apartment but invest 10,000 monthly into a pension plan, which currently has 800,000. I also invest 2,000 per month in stocks, with a total of 90,000 saved.",Calculation Agent,,
"I'm 62 and my spouse is 60. I earn 95,000 per month and she earns 55,000. We both have pension accounts: I contribute 7,000 and she contributes 5,000. Our savings include 1,200,000 in stocks and 3,000,000 in pension. We paid off our house last year.",Calculation Agent,,
"I'm 38, earning 72,000 per month. I have a pension policy with a balance of 1,800,000 and I contribute 4,500 monthly. I also own a flat worth 2,400,000 with a 1,200,000 mortgage (18 years left). I invest 1,000 in ETFs every month.",Calculation Agent,,
"I'm 48 and my husband is 49. I earn 62,000 per month and he earns 58,000. We have a mortgage on our home worth 4,500,000, with 3,600,000 remaining and 25 years left. I contribute 4,000 monthly to my pension (current value: 1,250,000), and he contributes 3,500 (value: 1,100,000).",Calculation Agent,,
"I'm 52 and I earn 70,000 monthly. I have a pension with 3,500,000 saved, and contribute 8,000 each month. I own two rental properties: one worth 2,500,000 (fully paid) and another worth 3,000,000 with 2,000,000 mortgage and 20 years left. I invest 1,500 monthly in mutual funds.",Calculation Agent,,
"I'm 35 and my partner is 33. I earn 50,000 and they earn 40,000. We rent our home but have combined pensions of 1,200,000. I contribute 5,000 monthly, and my partner contributes 4,000. We also invest in crypto: 100,000 total, no monthly additions.",Calculation Agent,,
"I'm 44 and my wife is 42. I earn 65,000 per month and she earns 48,000. Our pension accounts total 2,100,000, with contributions of 6,000 and 5,000 per month respectively. We own a house worth 4,000,000, still owing 2,500,000 over 23 years.",Calculation Agent,,
"I'm 56 and my spouse is 50. I earn 80,000 per month while my spouse earns 20,000. We both have pension policies: I contribute 7,200 monthly and have 2,500,000 already saved, while my spouse contributes 3,600 and has 500,000. We own a house worth 5,000,000 with a mortgage of 4,000,000 left, and 20 years remaining. We also invest 5,000 every month in stocks, and currently have 1,000,000 saved there.",Calculation Agent,,
"I'm 41 and I earn 50,000 per month. I have a pension policy where I contribute 6,000 monthly, and I've already saved 1,500,000. I own a house worth 2,700,000 with a mortgage of 2,000,000 and 28 years left to pay. I also invest in stocks — currently I have 110,000 and I add 1,000 every month.",Calculation Agent,,
"I'm 56 and my spouse is 55. I earn 19,000 per month and my wife earns 37,000. We both have pension policies: mine has a current value of 5,700,000 and my contribution is 0, while hers has a value of 1,638,000 with a monthly contribution of 1,480. We own a house worth 5,000,000 with a debt of 2,300,000 and 10 years left on the mortgage. We also have stocks worth 1,900,000, but we don't add anything to the account anymore.",Calculation Agent,,
"I'm 43, and my wife is 35. Together, we earn 45,000 each per month. We have a house worth 3,950,000, with a mortgage of 3,100,000 and 28 years left to pay. I have a pension plan where I contribute 5,400 each month, and my wife contributes 6,750 monthly to her own pension. We also have stocks worth 150,000, with monthly deposits of 2,000.",Calculation Agent,,
"I'm 46 years old and I earn 45,000 per month. I own a house worth 1,500,000 with a mortgage of 1,300,000 and 29 years left on the loan. I have a pension plan with a balance of 2,000,000, to which I contribute 6,750 monthly. I also have stocks worth 50,000, with monthly deposits of 1,000.",Calculation Agent,,
"I'm 40 and my spouse is 38, I earn 42,500 per month and my wife earns 35,000. We both have pension policies: my contribution is 764,000 with an initial value of 764,000, and she contributes 350,000, already having 350,000. We also own a house worth 850,000 with a debt of 673,853 with 29 years left on the mortgage. We have another house worth 3,150,000 with a debt of 1,450,000 with 29 years left on the mortgage. We have a savings account with 120,000 where we deposit 1,000 each month.",Calculation Agent,,
"I'm 56 and my spouse is 57, I earn 19,000 per month and my husband earns 37,000. We both have pension policies: my contribution is 5,700,000 with an initial value of 5,700,000, and he contributes 1,638,000, already having 1,638,000. We also own a house worth 5,000,000 with a debt of 2,300,000 with 10 years left on the mortgage. We have a savings account with 1,900,000.",Calculation Agent,,
"How do I pay taxes as a foreign worker?",Finance Agent,,
"How do I declare my income to Skat?",Finance Agent,,
"What taxes do I need to pay in Denmark?",Finance Agent,,
"When do I have to file my tax return?",Finance Agent,,
"How do I get a tax card in Denmark?",Finance Agent,,
"What is a preliminary income assessment?",Finance Agent,,
"Can I change my preliminary tax assessment?",Finance Agent,,
"How do I log in to skat.dk with MitID?",Finance Agent,,
"Where can I see how much tax I've paid?",Finance Agent,,
"What is a tax assessment notice (årsopgørelse)?",Finance Agent,,
"How do I get a NemKonto?",Finance Agent,,
"What is a NemKonto used for?",Finance Agent,,
"Can I use a foreign bank account as a NemKonto?",Finance Agent,,
"How do I change my NemKonto?",Finance Agent,,
"What is NemID/MitID, and how do I use it?",Finance Agent,,
"How do I log in with MitID to access public services?",Finance Agent,,
"Can I access Danish tax services with MitID?",Finance Agent,,
"Can I get financial support if I lose my job?",Finance Agent,,
"What social benefits can I apply for as a low-income resident?",Finance Agent,,
"How do I get financial help from the municipality?",Finance Agent,,
"Who pays out benefits in Denmark — Udbetaling Danmark?",Finance Agent,,
"Can I apply for housing support and child benefit at the same time?",Finance Agent,,
"What is the difference between tax assessment and preliminary income assessment?",Finance Agent,,
"How do I register my bank account for tax refunds?",Finance Agent,,
"What do I do if I paid too much tax?",Finance Agent,,
"What happens if I didn't pay enough tax?",Finance Agent,,
"How do I correct mistakes in my tax return?",Finance Agent,,
"Where can I see how much tax I owe?",Finance Agent,,
"What deductions can I claim as a student in Denmark?",Finance Agent,,
"Can I deduct transport expenses from my taxes?",Finance Agent,,
"Are there tax benefits for parents or families with children?",Finance Agent,,
"How are scholarships or SU grants taxed?",Finance Agent,,
"How do I declare freelance or self-employed income?",Finance Agent,,
"What documents do I need to file my taxes in Denmark?",Finance Agent,,
"How do I pay outstanding taxes to Skat?",Finance Agent,,
"Can I set up payment installments with Skat?",Finance Agent,,
"How do I change my address in Skat's system?",Finance Agent,,
"What happens to my taxes if I move abroad?",Finance Agent,,
"What if I receive income from another country while living in Denmark?",Finance Agent,,
"Do I have to pay taxes on rental income?",Finance Agent,,
"How are pension contributions taxed in Denmark?",Finance Agent,,
"How do I report capital gains or investment income?",Finance Agent,,
"Do I need to report cryptocurrency earnings to Skat?",Finance Agent,,
"What financial support is available for new immigrants?",Finance Agent,,
"Can I get a tax refund as an international student?",Finance Agent,,
"How do I access my annual tax statement?",Finance Agent,,
"What does “restskat” mean and how do I pay it?",Finance Agent,,
"Can I appeal a decision made by Skat?",Finance Agent,,
"Can I authorize someone else to handle my taxes?",Finance Agent,,
"What is a tax number and how do I get one?",Finance Agent,,
"Can I get help in English on skat.dk?",Finance Agent,,
"Is it possible to download a copy of my tax return?",Finance Agent,,
"How long should I keep my tax-related documents?",Finance Agent,,
"What is the deadline for tax corrections or appeals?",Finance Agent,,
"What is a mortgage?",Finance Agent,,
"How do mortgage interest rates affect monthly payments?",Finance Agent,,
"Are mortgage interest payments tax-deductible?",Finance Agent,,
"What is the difference between a fixed-rate and adjustable-rate mortgage?",Finance Agent,,
"How does a down payment affect mortgage eligibility?",Finance Agent,,
"What documents are required to apply for a mortgage?",Finance Agent,,
"Can mortgage interest be deducted on a second home?",Finance Agent,,
"What is mortgage refinancing and when does it make sense?",Finance Agent,,
"What is the impact of mortgage insurance on overall costs?",Finance Agent,,
"How does the amortization schedule work for mortgages?",Finance Agent,,
"Are there tax benefits to paying off a mortgage early?",Finance Agent,,
"What is private mortgage insurance (PMI)?",Finance Agent,,
"How do property taxes factor into mortgage payments?",Finance Agent,,
"What happens if you miss a mortgage payment?",Finance Agent,,
"What are common fees associated with getting a mortgage?",Finance Agent,,
"How does credit score influence mortgage approval?",Finance Agent,,
"What is a mortgage pre-approval?",Finance Agent,,
"What is a balloon mortgage?",Finance Agent,,
"Can you deduct points paid on a mortgage loan?",Finance Agent,,
"How do you qualify for a mortgage with bad credit?",Finance Agent,,
"What is an escrow account in relation to mortgages?",Finance Agent,,
"Are mortgage interest deductions subject to limits?",Finance Agent,,
"What is the role of a mortgage broker?",Finance Agent,,
"Can mortgage interest be deducted on rental properties?",Finance Agent,,
"What is the effect of inflation on mortgage rates?",Finance Agent,,
"How do government programs help first-time homebuyers with mortgages?",Finance Agent,,
"What are the tax implications of mortgage debt cancellation?",Finance Agent,,
"How is mortgage interest reported on tax returns?",Finance Agent,,
"What is a reverse mortgage?",Finance Agent,,
"What happens to the mortgage after the death of the borrower?",Finance Agent,,
"How does Udbetaling Danmark process my personal data when I receive public benefits?",Finance Agent,,
"What is NemKonto and how do I set it up for public payments?",Finance Agent,,
"How can I apply for an income-based daycare subsidy or sibling subsidy?",Finance Agent,,
"What are the rules for day care facilities in Denmark?",Finance Agent,,
"What steps do I need to take to get married in Denmark as a foreigner?",Finance Agent,,
"What is child support and how is it arranged after a divorce or separation?",Finance Agent,,
"How do I apply for a confirmation clothing allowance for my child?",Finance Agent,,
"What is an education contribution and who is eligible to receive it?",Finance Agent,,
"What is the process for separation and divorce in Denmark?",Finance Agent,,
"How do I apply for child allowance in Denmark?",Finance Agent,,
"Who do I contact regarding child and youth benefits?",Finance Agent,,
"What types of child and youth benefits are available in Denmark?",Finance Agent,,
"How do I contact Udbetaling Danmark about maternity or paternity benefits?",Finance Agent,,
"What are the requirements for maternity and paternity benefits in Denmark?",Finance Agent,,
""What support is available in connection with birth, maternity, and naming ceremonies?"",Finance Agent,,
"What preventive healthcare services are available for children and adolescents?",Finance Agent,,
"How do I apply for funeral benefits in Denmark?",Finance Agent,,
"What are survivor benefits and who can receive them?",Finance Agent,,
"What should I do when someone dies in Denmark?",Finance Agent,,
"How do I apply for the Blue European Health Insurance Card?",Finance Agent,,
"How is my personal data processed when applying for international health insurance?",Finance Agent,,
"Who is eligible for the Blue European Health Insurance Card in Denmark?",Finance Agent,,
"What health insurance options are available for cross-border workers?",Finance Agent,,
"How does healthcare work if I live in Denmark but work abroad?",Finance Agent,,
"What do I need to know about healthcare when posted to Denmark for work?",Finance Agent,,
"What are my healthcare rights when working in Denmark?",Finance Agent,,
"How do I use the health insurance card app?",Finance Agent,,
"How do I get a health insurance card in Denmark?",Finance Agent,,
"What should I do about health insurance if I move to Denmark?",Finance Agent,,
"Where can I find information about health insurance in my country?",Finance Agent,,
"Can I purchase public healthcare services in Denmark?",Finance Agent,,
"What is a special health insurance card and who can get one?",Finance Agent,,
"How does the Danish healthcare system work?",Finance Agent,,
"Can I receive treatment in private hospitals and clinics in Denmark?",Finance Agent,,
"How do I apply for compensation for malpractice or pharmaceutical injuries?",Finance Agent,,
"What home care services are available in Denmark?",Finance Agent,,
"What practical matters should I attend to before leaving Denmark?",Finance Agent,,
"What do I need to do when arriving in Denmark regarding housing?",Finance Agent,,
"How do I rent a home in Denmark?",Finance Agent,,
"What are resident deposit loans and how do I apply?",Finance Agent,,
"What are the household costs I should expect in Denmark?",Finance Agent,,
"How do I apply for housing benefits?",Finance Agent,,
"What are the different types of housing benefits in Denmark?",Finance Agent,,
"How do I pay for water and sewage in Denmark?",Finance Agent,,
"How do I manage electricity, gas, and heating consumption?",Finance Agent,,
"What is an energy performance certification of buildings?",Finance Agent,,
"What are property assessments and property taxes in Denmark?",Finance Agent,,
"What is the process for purchasing real property in Denmark?",Finance Agent,,
"How do I contact Udbetaling Danmark about housing benefits?",Finance Agent,,
"What financial support can I get from the municipality?",Finance Agent,,
"What is social assistance and how do I apply?",Finance Agent,,
"What is the general introduction to the Danish tax system?",Finance Agent,,
"What deductions and allowances are available in Denmark?",Finance Agent,,
"What are the rules on double taxation?",Finance Agent,,
"What are the special rules for cross-border workers?",Finance Agent,,
"How is the purchase and sale of real property taxed?",Finance Agent,,
"What taxes are spent on in Denmark?",Finance Agent,,
"How are Danish and non-Danish pensions taxed?",Finance Agent,,
"What is the tax situation for inheritance from a family member residing abroad?",Finance Agent,,
"What is ATP Livslang Pension and how do I contribute?",Finance Agent,,
"What are the contribution rates for ATP in the private and public sectors?",Finance Agent,,
"How do I contact ATP for pension questions?",Finance Agent,,
"What legislation covers ATP Livslang Pension?",Finance Agent,,
"What is the process for early retirement pension?",Finance Agent,,
"What is the flexi-job scheme and who is eligible?",Finance Agent,,
"What health insurance cover is available when living abroad as a pensioner?",Finance Agent,,
"How do I apply for disability pension in Denmark?",Finance Agent,,
"What is senior pension and how do I apply?",Finance Agent,,
"How do I share my ATP information with others?",Finance Agent,,
"How do I contact Udbetaling Danmark about international pension?",Finance Agent,,
"How do I receive Danish state pension when living abroad?",Finance Agent,,
"How do I receive a foreign state pension when living in Denmark?",Finance Agent,,
"What is partial pension and how do I apply?",Finance Agent,,
"What is the pension scheme for civil servants?",Finance Agent,,
"How do I contact the pension office for state pension questions?",Finance Agent,,
"How do I manage student debt in Denmark?",Finance Agent,,
"What should I do if I have received more SU than I am entitled to?",Finance Agent,,
"What subsidies are available for internships or traineeships abroad?",Finance Agent,,
"What is SU (State Educational Grant) and how do I apply?",Finance Agent,,
"What is VEU allowance for adult and further education?",Finance Agent,,
"What is compulsory liability insurance for motor vehicles?",Finance Agent,,
"What do I need to know about purchasing and selling a motor vehicle in Denmark?",Finance Agent,,
"What is the process for importing a motor vehicle temporarily or permanently?",Finance Agent,,
"How do I claim deductions for pension contributions?",Finance Agent,,
"How do I claim deduction for interest expenses?",Finance Agent,,
"How do I claim deduction for trade union fees?",Finance Agent,,
"How do I claim deduction for transport between home and work?",Finance Agent,,
"What are the rules for deductions and allowances when working?",Finance Agent,,
"How do I claim deduction for travel expenses?",Finance Agent,,
"What is the deduction for home improvement and household services?",Finance Agent,,
"What are the rules for employee benefits such as company car or free phone?",Finance Agent,,
"How do I allow third-party access to my e-tax account?",Finance Agent,,
"How do I order an e-tax password or MitID?",Finance Agent,,
"How do I access my tax assessment notice as a PDF?",Finance Agent,,
"What is B-income and how is it taxed?",Finance Agent,,
"What are the tax rules for cross-border tax matters?",Finance Agent,,
"How do I declare non-Danish income if I live in Denmark?",Finance Agent,,
"How do I understand my payslip in Denmark?",Finance Agent,,
"How do I calculate my pay for the preliminary income assessment?",Finance Agent,,
"How do I check and change my preliminary income assessment?",Finance Agent,,
"What should I do if my income changes during the year?",Finance Agent,,
"What are the tax rules for sharing economy activities?",Finance Agent,,
"How do I declare income from renting out my car, boat, or caravan?",Finance Agent,,
"How do I declare income from providing services for others?",Finance Agent,,
"What are the tax rules for state education grants?",Finance Agent,,
"How do I declare outstanding tax and pay it from outside Denmark?",Finance Agent,,
"What are the relevant dates for the tax assessment notice?",Finance Agent,,
"How do I see and change my previous tax assessment notices?",Finance Agent,,
"How do I get a Danish tax card?",Finance Agent,,
"What are the different types of Danish tax cards?",Finance Agent,,
"How do I pay property tax in Denmark?",Finance Agent,,
"What are the rules for buying a home or holiday home in Denmark?",Finance Agent,,
"How do I declare rental income from renting out a home or holiday home?",Finance Agent,,
"What are the rules for selling a home in Denmark?",Finance Agent,,
"How do I declare gains and losses from buying and selling shares and securities?",Finance Agent,,
"What are the tax rules for cryptocurrency in Denmark?",Finance Agent,,
"How do I declare gifts for tax purposes?",Finance Agent,,
"What is my tax liability when coming to study in Denmark?",Finance Agent,,
"What do I need to do when setting up life in Denmark?",Finance Agent,,
"What types of tax exist in Denmark?",Finance Agent,,
"How do I apply for exemption from Danish withholding tax when leaving Denmark?",Finance Agent,,
"What is the guide to working in Denmark as a foreigner?",Finance Agent,,
